| Hex        | Assembly          | Meaning                      |
| ---------- | ----------------- | ---------------------------- |
| `00500093` | `addi x1, x0, 5`  | x1 = 0 + 5                   |
| `00A00113` | `addi x2, x0, 10` | x2 = 0 + 10                  |
| `00208133` | `add x2, x1, x2`  | x2 = x1 + x2                 |
| `00000013` | `addi x0, x0, 0`  | NOP                          |
| `00000013` | `addi x0, x0, 0`  | NOP                          |
| `00000013` | `addi x0, x0, 0`  | NOP                          |
| `00302023` | `sw x3, 0(x0)`    | Store x3 to memory address 0 |
| `00000013` | `addi x0, x0, 0`  | NOP                          |
| `00000013` | `addi x0, x0, 0`  | NOP                          |
| `00000013` | `addi x0, x0, 0`  | NOP                          |
| `0000006F` | `jal x0, 0`       | Infinite loop                |
| `00000013` | `addi x0, x0, 0`  | NOP                          |
